"","Race_recode_W_B_AI_API","Age_recode_with_single_ages_and_85","Sex","Site_recode_ICDO3/WHO_2008","AgeAdjusted_Rate","Standard_Error","Lower_Confidence_Interval","Upper_Confidence_Interval","Count","Population"
"17","White","00 years","Male and female","Colon and Rectum","0.0","0.0","0.0","0.0",1,11216316
"323","White","01 years","Male and female","Colon and Rectum","0.0","NA","0.0","0.0",0,11102783
"629","White","02 years","Male and female","Colon and Rectum","0.0","0.0","0.0","0.1",1,11007201
"935","White","03 years","Male and female","Colon and Rectum","0.0","NA","0.0","0.0",0,11003106
"1241","White","04 years","Male and female","Colon and Rectum","0.0","NA","0.0","0.0",0,11050332
"1547","White","05 years","Male and female","Colon and Rectum","0.0","NA","0.0","0.0",0,11029079
"1853","White","06 years","Male and female","Colon and Rectum","0.0","NA","0.0","0.0",0,10972333
"2159","White","07 years","Male and female","Colon and Rectum","0.0","NA","0.0","0.0",0,11019613
"2465","White","08 years","Male and female","Colon and Rectum","0.0","NA","0.0","0.0",0,11068006
"2771","White","09 years","Male and female","Colon and Rectum","0.0","0.0","0.0","0.0",1,11172677
"3077","White","10 years","Male and female","Colon and Rectum","0.0","0.0","0.0","0.1",3,11532374
"3383","White","11 years","Male and female","Colon and Rectum","0.0","0.0","0.0","0.1",4,11560157
"3689","White","12 years","Male and female","Colon and Rectum","0.1","0.0","0.0","0.1",8,11629560
"3995","White","13 years","Male and female","Colon and Rectum","0.1","0.0","0.0","0.1",6,11616031
"4301","White","14 years","Male and female","Colon and Rectum","0.2","0.0","0.1","0.2",18,11570867
"4607","White","15 years","Male and female","Colon and Rectum","0.1","0.0","0.1","0.2",17,11635364
"4913","White","16 years","Male and female","Colon and Rectum","0.2","0.0","0.1","0.3",21,11683828
"5219","White","17 years","Male and female","Colon and Rectum","0.4","0.1","0.3","0.5",44,11693894
"5525","White","18 years","Male and female","Colon and Rectum","0.4","0.1","0.3","0.5",41,11543866
"5831","White","19 years","Male and female","Colon and Rectum","0.5","0.1","0.4","0.6",54,11315556
"6137","White","20 years","Male and female","Colon and Rectum","0.6","0.1","0.4","0.7",66,11381460
"6443","White","21 years","Male and female","Colon and Rectum","0.8","0.1","0.6","0.9",86,11430737
"6749","White","22 years","Male and female","Colon and Rectum","1.1","0.1","0.9","1.3",126,11423718
"7055","White","23 years","Male and female","Colon and Rectum","1.1","0.1","0.9","1.3",129,11436219
"7361","White","24 years","Male and female","Colon and Rectum","1.2","0.1","1.0","1.4",133,11362549
"7667","White","25 years","Male and female","Colon and Rectum","1.6","0.1","1.4","1.9",182,11366939
"7973","White","26 years","Male and female","Colon and Rectum","1.9","0.1","1.7","2.2",216,11197427
"8279","White","27 years","Male and female","Colon and Rectum","2.0","0.1","1.8","2.3",227,11153553
"8585","White","28 years","Male and female","Colon and Rectum","2.2","0.1","2.0","2.5",247,11101528
"8891","White","29 years","Male and female","Colon and Rectum","2.9","0.2","2.6","3.2",322,11069168
"9197","White","30 years","Male and female","Colon and Rectum","3.2","0.2","2.9","3.6",366,11281357
"9503","White","31 years","Male and female","Colon and Rectum","3.9","0.2","3.6","4.3",437,11164876
"9809","White","32 years","Male and female","Colon and Rectum","4.0","0.2","3.7","4.4",457,11284695
"10115","White","33 years","Male and female","Colon and Rectum","5.5","0.2","5.1","6.0",624,11253974
"10421","White","34 years","Male and female","Colon and Rectum","5.5","0.2","5.1","5.9",621,11318781
"10727","White","35 years","Male and female","Colon and Rectum","6.5","0.2","6.1","7.0",748,11476701
"11033","White","36 years","Male and female","Colon and Rectum","7.1","0.2","6.6","7.6",819,11597151
"11339","White","37 years","Male and female","Colon and Rectum","7.5","0.3","7.0","8.0",880,11742947
"11645","White","38 years","Male and female","Colon and Rectum","9.2","0.3","8.6","9.7",1089,11881569
"11951","White","39 years","Male and female","Colon and Rectum","10.8","0.3","10.2","11.4",1305,12065051
"12257","White","40 years","Male and female","Colon and Rectum","11.9","0.3","11.3","12.6",1459,12229735
"12563","White","41 years","Male and female","Colon and Rectum","13.9","0.3","13.2","14.5",1712,12351998
"12869","White","42 years","Male and female","Colon and Rectum","14.5","0.3","13.8","15.2",1792,12385406
"13175","White","43 years","Male and female","Colon and Rectum","17.2","0.4","16.5","17.9",2132,12405261
"13481","White","44 years","Male and female","Colon and Rectum","19.3","0.4","18.6","20.1",2390,12361457
"13787","White","45 years","Male and female","Colon and Rectum","21.9","0.4","21.1","22.8",2713,12364007
"14093","White","46 years","Male and female","Colon and Rectum","25.2","0.5","24.3","26.1",3117,12379331
"14399","White","47 years","Male and female","Colon and Rectum","27.0","0.5","26.0","27.9",3330,12354036
"14705","White","48 years","Male and female","Colon and Rectum","32.2","0.5","31.2","33.3",3933,12196529
"15011","White","49 years","Male and female","Colon and Rectum","35.4","0.5","34.3","36.4",4259,12047811
"15317","White","50 years","Male and female","Colon and Rectum","51.3","0.7","50.0","52.6",6062,11824744
"15623","White","51 years","Male and female","Colon and Rectum","50.9","0.7","49.6","52.2",5942,11673551
"15929","White","52 years","Male and female","Colon and Rectum","50.3","0.7","49.0","51.7",5745,11411888
"16235","White","53 years","Male and female","Colon and Rectum","53.6","0.7","52.2","55.0",6030,11251234
"16541","White","54 years","Male and female","Colon and Rectum","59.5","0.7","58.1","61.0",6499,10916044
"16847","White","55 years","Male and female","Colon and Rectum","63.0","0.8","61.5","64.5",6608,10493761
"17153","White","56 years","Male and female","Colon and Rectum","67.2","0.8","65.6","68.8",6818,10152299
"17459","White","57 years","Male and female","Colon and Rectum","70.5","0.8","68.9","72.2",6919,9812553
"17765","White","58 years","Male and female","Colon and Rectum","77.0","0.9","75.2","78.8",7241,9403324
"18071","White","59 years","Male and female","Colon and Rectum","82.7","1.0","80.8","84.6",7416,8971218
"18377","White","60 years","Male and female","Colon and Rectum","93.5","1.0","91.5","95.6",7959,8511057
"18683","White","61 years","Male and female","Colon and Rectum","96.7","1.1","94.6","98.9",7911,8180751
"18989","White","62 years","Male and female","Colon and Rectum","104.7","1.2","102.5","107.0",8167,7798401
"19295","White","63 years","Male and female","Colon and Rectum","111.5","1.2","109.1","113.9",8213,7369179
"19601","White","64 years","Male and female","Colon and Rectum","120.4","1.3","117.8","123.0",8417,6991083
"19907","White","65 years","Male and female","Colon and Rectum","147.6","1.5","144.7","150.5",9786,6631858
"20213","White","66 years","Male and female","Colon and Rectum","149.3","1.6","146.2","152.4",9209,6168804
"20519","White","67 years","Male and female","Colon and Rectum","153.8","1.6","150.6","157.0",9082,5906573
"20825","White","68 years","Male and female","Colon and Rectum","166.2","1.7","162.8","169.6",9401,5657153
"21131","White","69 years","Male and female","Colon and Rectum","175.5","1.8","172.0","179.1",9530,5429666
"21437","White","70 years","Male and female","Colon and Rectum","190.2","1.9","186.5","194.0",9814,5158848
"21743","White","71 years","Male and female","Colon and Rectum","201.7","2.0","197.8","205.7",10071,4992664
"22049","White","72 years","Male and female","Colon and Rectum","214.0","2.1","209.9","218.2",10315,4820022
"22355","White","73 years","Male and female","Colon and Rectum","226.2","2.2","221.9","230.5",10574,4675431
"22661","White","74 years","Male and female","Colon and Rectum","242.0","2.3","237.5","246.6",10952,4525223
"22967","White","75 years","Male and female","Colon and Rectum","252.3","2.4","247.6","257.1",11004,4360771
"23273","White","76 years","Male and female","Colon and Rectum","260.7","2.5","255.9","265.6",11085,4251878
"23579","White","77 years","Male and female","Colon and Rectum","276.2","2.6","271.1","281.3",11323,4100244
"23885","White","78 years","Male and female","Colon and Rectum","290.7","2.7","285.4","296.1",11485,3950832
"24191","White","79 years","Male and female","Colon and Rectum","295.5","2.8","290.1","301.0",11235,3802009
"24497","White","80 years","Male and female","Colon and Rectum","302.9","2.9","297.3","308.6",10926,3607037
"24803","White","81 years","Male and female","Colon and Rectum","318.0","3.1","312.1","324.1",10823,3403111
"25109","White","82 years","Male and female","Colon and Rectum","333.8","3.2","327.4","340.2",10578,3169277
"25415","White","83 years","Male and female","Colon and Rectum","343.1","3.4","336.4","349.9",10012,2917799
"25721","White","84 years","Male and female","Colon and Rectum","347.7","3.6","340.7","354.9",9248,2659547
"26027","White","85+ years","Male and female","Colon and Rectum","364.9","1.6","361.8","368.1",52204,14305682
"26333","White","Unknown","Male and female","Colon and Rectum","NA","NA","NA","NA",0,0
