"","Race_recode_W_B_AI_API","Age_recode_with_single_ages_and_85","Sex","Site_recode_ICDO3/WHO_2008","AgeAdjusted_Rate","Standard_Error","Lower_Confidence_Interval","Upper_Confidence_Interval","Count","Population"
"86","White","00 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11216316
"392","White","01 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11102783
"698","White","02 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11007201
"1004","White","03 years","Male and female","Myeloma","0.0","0.0","0.0","0.1",1,11003106
"1310","White","04 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11050332
"1616","White","05 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11029079
"1922","White","06 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,10972333
"2228","White","07 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11019613
"2534","White","08 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11068006
"2840","White","09 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11172677
"3146","White","10 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11532374
"3452","White","11 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11560157
"3758","White","12 years","Male and female","Myeloma","0.0","0.0","0.0","0.1",2,11629560
"4064","White","13 years","Male and female","Myeloma","0.0","0.0","0.0","0.0",1,11616031
"4370","White","14 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11570867
"4676","White","15 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11635364
"4982","White","16 years","Male and female","Myeloma","0.0","0.0","0.0","0.1",2,11683828
"5288","White","17 years","Male and female","Myeloma","0.0","0.0","0.0","0.1",2,11693894
"5594","White","18 years","Male and female","Myeloma","0.0","0.0","0.0","0.1",4,11543866
"5900","White","19 years","Male and female","Myeloma","0.0","NA","0.0","0.0",0,11315556
"6206","White","20 years","Male and female","Myeloma","0.1","0.0","0.0","0.1",6,11381460
"6512","White","21 years","Male and female","Myeloma","0.0","0.0","0.0","0.1",2,11430737
